episode,mean_final_edges,mean_shd,best_shd,mean_bic,best_bic,mean_bdeu,best_bdeu
10,8.4,6.2,3.0,-2272.145171644849,-2262.8204237739287,-2258.639309721556,-2252.7625515112304
20,7.9,5.4,3.0,-2268.7524793513226,-2262.8204237739287,-2256.343307654285,-2252.7625515112304
30,7.833333333333333,5.1,2.0,-2268.736007913019,-2262.8204237739287,-2255.9530280764507,-2252.7625515112304
40,7.75,5.0,1.0,-2267.963964260844,-2262.8204237739287,-2255.6399261249785,-2252.7625515112295
50,7.76,5.04,1.0,-2267.889808163957,-2262.8204237739287,-2255.4921778489424,-2252.7625515112295
