shd,num_edges,bic,bdeu,posterior_predictive_loglik,neg_posterior_predictive_loglik,rank
14.0,17.0,-72480.0180007091,-72294.77897583038,-71742.95733550412,71742.95733550412,1
12.0,17.0,-72480.01800070911,-72294.77897583038,-71742.95733550412,71742.95733550412,2
10.0,17.0,-72480.01800070911,-72294.7789758304,-71742.95733550412,71742.95733550412,3
12.0,17.0,-72480.0180007091,-72294.77897583038,-71742.95733550412,71742.95733550412,4
10.0,17.0,-72480.01800070911,-72294.77897583037,-71742.95733550414,71742.95733550414,5
14.0,17.0,-72480.01800070911,-72294.77897583038,-71742.95733550412,71742.95733550412,6
