shd,num_edges,bic,bdeu,posterior_predictive_loglik,neg_posterior_predictive_loglik,rank
94.0,52.0,-12400.354838023131,-11612.403387620692,-10917.3481964551,10917.3481964551,1
96.0,52.0,-12344.617204827075,-11637.25238417836,-10953.111749921156,10953.111749921156,2
96.0,52.0,-12351.65184192591,-11643.667680325727,-10950.232296683867,10950.232296683867,3
96.0,52.0,-12351.65184192591,-11643.667680325725,-10950.232296683867,10950.232296683867,4
98.0,54.0,-12399.517178334605,-11639.100754173418,-10906.824061163501,10906.824061163501,5
97.0,53.0,-12381.964838909293,-11671.549045748823,-10960.103737046722,10960.103737046722,6
97.0,53.0,-12427.526482171364,-11708.326423302513,-10990.00113072779,10990.00113072779,7
97.0,53.0,-12424.967016494595,-11698.2852063196,-10989.158461875404,10989.158461875404,8
98.0,56.0,-12655.801195731756,-11791.650724028497,-11031.30619139263,11031.30619139263,9
